,id,name
0,0,empty
1,2,tayassu pecari
2,3,dasyprocta punctata
3,4,cuniculus paca
4,6,puma concolor
5,7,tapirus terrestris
6,8,pecari tajacu
7,9,mazama americana
8,10,leopardus pardalis
9,12,geotrygon montana
10,13,nasua nasua
11,14,dasypus novemcinctus
12,15,eira barbara
13,16,didelphis marsupialis
14,20,procyon cancrivorus
15,24,panthera onca
16,25,myrmecophaga tridactyla
17,26,tinamus major
18,32,sylvilagus brasiliensis
19,44,puma yagouaroundi
20,50,leopardus wiedii
21,62,mazama gouazoubira
22,67,philander opossum
23,70,capra aegagrus
24,71,bos taurus
25,72,ovis aries
26,73,canis lupus
27,74,lepus saxatilis
28,77,turtur calcospilos
29,78,papio anubis
30,80,genetta genetta
31,83,tragelaphus scriptus
32,86,equus africanus
33,89,herpestes sanguineus
34,90,loxodonta africana
35,91,cricetomys gambianus
36,92,raphicerus campestris
37,94,hyaena hyaena
38,96,aepyceros melampus
39,97,crocuta crocuta
40,98,caracal caracal
41,99,equus ferus
42,100,panthera leo
43,101,tragelaphus oryx
44,102,kobus ellipsiprymnus
45,103,phacochoerus africanus
46,104,panthera pardus
47,106,ichneumia albicauda
48,108,canis mesomelas
49,110,syncerus caffer
50,111,equus quagga
51,112,giraffa camelopardalis
52,113,alcelaphus buselaphus
53,114,chlorocebus pygerythrus
54,115,madoqua guentheri
55,116,potamochoerus larvatus
56,118,nanger granti
57,119,eudorcas thomsonii
58,120,struthio camelus
59,121,orycteropus afer
60,122,acinonyx jubatus
61,123,eupodotis senegalensis
62,124,felis silvestris
63,127,oryx beisa
64,129,lophotis gindiana
65,130,ardeotis kori
66,133,helogale parvula
67,134,lissotis melanogaster
68,139,argusianus argus
69,141,prionailurus bengalensis
70,142,hemigalus derbyanus
71,144,muntiacus muntjak
72,145,sus scrofa
73,147,helarctos malayanus
74,150,rusa unicolor
75,152,hystrix brachyura
76,153,pardofelis temminckii
77,154,panthera tigris
78,156,lariscus insignis
79,159,chalcophaps indica
80,161,genetta tigrina
81,162,hystrix cristata
82,163,lycaon pictus
83,166,procavia capensis
84,167,streptopilia senegalensis
85,170,ictonyx striatus
86,175,canis familiaris
87,177,unknown bird
88,198,unknown bat
89,221,momotus momota
90,227,psophia crepitans
91,229,nothocrax urumutum
92,230,dasyprocta fuliginosa
93,233,myoprocta pratti
94,234,proechimys sp
95,235,geotrygon sp
96,240,nasua narica
97,242,tamandua mexicana
98,243,didelphis sp
99,245,penelope purpurascens
100,250,aguila sp
101,251,phaetornis sp
102,252,paleosuchus sp
103,253,brotogeris sp
104,256,camelus dromedarius
105,257,otocyon megalotis
106,258,acryllium vulturinum
107,259,equus grevyi
108,262,proteles cristata
109,265,leptailurus serval
110,267,tragelaphus strepsiceros
111,268,hippopotamus amphibius
112,273,burhinus capensis
113,286,xerus rutilus
114,291,paguma larvata
115,292,pardofelis marmorata
116,294,cuon alpinus
117,296,varanus salvator
118,299,martes flavigula
119,300,prionodon linsang
120,301,rollulus rouloul
121,302,lophura inornata
122,306,polyplectron chalcurum
123,307,manis javanica
124,309,capricornis sumatraensis
125,310,macaca sp
126,315,francolinus nobilis
127,316,cercopithecus lhoesti
128,317,cephalophus nigrifrons
129,318,atherurus africanus
130,319,pan troglodytes
131,320,cercopithecus mitis
132,321,funisciurus carruthersi
133,322,motacilla flava
134,323,andropadus latirostris
135,324,andropadus virens
136,325,thamnomys venustus
137,326,protoxerus stangeri
138,327,paraxerus boehmi
139,328,cephalophus silvicultor
140,330,oenomys hypoxanthus
141,333,melocichla mentalis
142,334,hybomys univittatus
143,335,colomys goslingi
144,336,hylomyscus stella
145,337,genetta servalina
146,338,canis adustus
147,339,dioptrornis fischeri
148,340,mus minutoides
149,342,musophaga rossae
150,344,turtur tympanistria
151,345,praomys tullbergi
152,346,malacomys longipes
153,349,eurocephalus rueppelli
154,350,alopochen aegyptiaca
155,352,deomys ferrugineus
156,353,francolinus africanus
157,354,nandinia binotata
158,355,mesopicos griseocephalus
159,356,turdus olivaceus
160,357,streptopelia lugens
161,370,mazama sp
162,371,urocyon cinereoargenteus
163,372,meleagris ocellata
164,374,crax rubra
165,375,agouti paca
166,376,tapirus bairdii
167,377,procyon lotor
168,378,odocoileus virginianus
169,379,leptotila plumbeiceps
170,380,mazama temama
171,382,conepatus semistriatus
172,384,mazama pandora
173,385,ortalis vetula
174,389,presbytis thomasi
175,390,neofelis diardi
176,391,arctonyx hoevenii
177,402,tragulus sp
178,405,dendrocitta occipitalis
179,406,niltava sumatrana
180,407,mustela lutreolina
181,408,leiothrix argentauris
182,409,myiophoneus melanurus
183,410,arborophila rubrirostris
184,412,erithacus cyane
185,413,lophura sp
186,414,myiophoneus glaucinus
187,415,lophura erythrophthalma
188,416,spilornis cheela
189,417,myiophoneus caeruleus
190,418,herpestes semitorquatus
191,419,collocalia linchi
192,420,callosciurus notatus
193,422,cerdocyon thous
194,558,motorcycle
195,559,peromyscus sp
196,562,puma yagoroundi
197,563,tigrisoma mexicanum
198,564,canis latrans
199,565,claravis pretiosa
200,566,sciurus sp
201,567,ave desconocida
202,568,aramides cajanea
203,570,aramus guarauna
204,571,mazama  temama
